num_fila,wall_time-s,user_time-s,sys_time-s,cpu_total-s,percent_cpu,mem_rss-kb
4,0.005804,0.000636,0.005168,0.005804,10.95,40
2,0.005074,0.000324,0.004751,0.005074,6.38,40
2,0.004949,0.000315,0.004634,0.004949,6.36,40
4,0.006118,0.000812,0.005306,0.006118,13.27,40
3,0.008221,0.000499,0.007722,0.008221,6.07,40
5,0.007319,0.000863,0.006456,0.007319,11.79,40
5,0.006875,0.000802,0.006073,0.006875,11.66,40
3,0.008489,0.000460,0.008029,0.008489,5.42,40
5,0.008009,0.000629,0.007381,0.008009,7.85,40
6,0.008842,0.000647,0.008195,0.008842,7.32,40
2,0.011183,0.000320,0.010863,0.011183,2.86,40
5,0.005695,0.000563,0.005132,0.005695,9.88,40
5,0.009693,0.000661,0.009032,0.009693,6.82,40
5,0.010836,0.000755,0.010081,0.010836,6.97,40
6,0.009887,0.000822,0.009065,0.009887,8.31,40
3,0.006597,0.000732,0.005866,0.006597,11.09,40
3,0.005844,0.000488,0.005356,0.005844,8.35,40
5,0.006252,0.000735,0.005517,0.006252,11.76,40
2,0.005108,0.000359,0.004749,0.005108,7.03,40
2,0.004918,0.000310,0.004608,0.004918,6.31,40
4,0.006160,0.000768,0.005393,0.006160,12.46,40
5,0.005599,0.000688,0.004910,0.005599,12.30,40
4,0.005439,0.000609,0.004830,0.005439,11.19,40
6,0.005667,0.000859,0.004808,0.005667,15.15,40
5,0.005837,0.000696,0.005141,0.005837,11.93,40
4,0.005640,0.000589,0.005051,0.005640,10.44,40
5,0.005822,0.000716,0.005106,0.005822,12.29,40
6,0.005702,0.000897,0.004805,0.005702,15.73,40
6,0.005920,0.000834,0.005087,0.005920,14.08,40
4,0.006427,0.000608,0.005819,0.006427,9.46,40
4,0.005796,0.000725,0.005071,0.005796,12.51,40
3,0.005461,0.000438,0.005023,0.005461,8.02,40
2,0.005560,0.000325,0.005235,0.005560,5.85,40
2,0.005138,0.000348,0.004790,0.005138,6.77,40
6,0.006005,0.000819,0.005186,0.006005,13.65,40
6,0.006420,0.001202,0.005218,0.006420,18.72,40
6,0.006743,0.000984,0.005760,0.006743,14.59,40
3,0.004965,0.000439,0.004526,0.004965,8.83,40
4,0.005672,0.000573,0.005100,0.005672,10.09,40
5,0.005568,0.000618,0.004950,0.005568,11.09,40
2,0.005643,0.000374,0.005269,0.005643,6.63,40
4,0.005372,0.000541,0.004831,0.005372,10.07,40
6,0.005865,0.000770,0.005095,0.005865,13.13,40
6,0.006594,0.001106,0.005487,0.006594,16.78,40
2,0.005069,0.000383,0.004686,0.005069,7.55,40
6,0.006136,0.000797,0.005339,0.006136,13.00,40
3,0.005319,0.000401,0.004918,0.005319,7.54,40
2,0.005368,0.000359,0.005008,0.005368,6.70,40
4,0.005852,0.000561,0.005291,0.005852,9.59,40
3,0.006273,0.000699,0.005574,0.006273,11.14,40
2,0.005902,0.000497,0.005405,0.005902,8.42,40
3,0.006074,0.000493,0.005581,0.006074,8.11,40
2,0.005792,0.000383,0.005409,0.005792,6.61,40
6,0.006280,0.000843,0.005437,0.006280,13.42,40
6,0.005684,0.000748,0.004936,0.005684,13.17,40
2,0.005808,0.000371,0.005437,0.005808,6.38,40
5,0.006118,0.000670,0.005448,0.006118,10.96,40
2,0.005322,0.000353,0.004970,0.005322,6.62,40
4,0.005622,0.000690,0.004932,0.005622,12.27,40
5,0.005862,0.000758,0.005104,0.005862,12.92,40
6,0.006491,0.001019,0.005472,0.006491,15.70,40
3,0.005635,0.000480,0.005155,0.005635,8.52,40
4,0.005631,0.000504,0.005127,0.005631,8.95,40
2,0.005354,0.000376,0.004979,0.005354,7.01,40
6,0.005845,0.000835,0.005010,0.005845,14.29,40
4,0.005944,0.000682,0.005262,0.005944,11.47,40
2,0.005830,0.000338,0.005492,0.005830,5.79,40
5,0.005728,0.000637,0.005091,0.005728,11.11,40
4,0.006071,0.000608,0.005463,0.006071,10.01,40
5,0.005943,0.000765,0.005178,0.005943,12.87,40
6,0.006082,0.000812,0.005271,0.006082,13.34,40
6,0.005692,0.000845,0.004847,0.005692,14.85,40
3,0.006408,0.000485,0.005923,0.006408,7.57,40
5,0.005911,0.000675,0.005236,0.005911,11.42,40
4,0.006626,0.000589,0.006037,0.006626,8.88,40
3,0.005651,0.000455,0.005197,0.005651,8.05,40
5,0.005414,0.000738,0.004676,0.005414,13.63,40
5,0.005509,0.000632,0.004878,0.005509,11.47,40
2,0.005463,0.000314,0.005149,0.005463,5.75,40
3,0.005699,0.000609,0.005090,0.005699,10.68,40
3,0.005556,0.000494,0.005063,0.005556,8.88,40
3,0.005957,0.000340,0.005617,0.005957,5.71,40
4,0.005469,0.000590,0.004879,0.005469,10.79,40
5,0.005615,0.000690,0.004925,0.005615,12.29,40
6,0.005972,0.000799,0.005174,0.005972,13.37,40
5,0.005877,0.000764,0.005113,0.005877,13.00,40
2,0.006892,0.000366,0.006526,0.006892,5.31,40
3,0.006465,0.000442,0.006023,0.006465,6.84,40
5,0.007561,0.001107,0.006454,0.007561,14.64,40
5,0.006594,0.000712,0.005881,0.006594,10.80,40
4,0.009212,0.000717,0.008495,0.009212,7.78,40
2,0.006230,0.000437,0.005793,0.006230,7.01,40
5,0.006401,0.000729,0.005672,0.006401,11.39,40
5,0.007103,0.001064,0.006039,0.007103,14.97,40
6,0.006104,0.000841,0.005263,0.006104,13.78,40
6,0.007070,0.000897,0.006173,0.007070,12.69,40
2,0.005889,0.000319,0.005570,0.005889,5.42,40
3,0.005413,0.000401,0.005012,0.005413,7.41,40
4,0.006005,0.000566,0.005439,0.006005,9.42,40
6,0.006287,0.000803,0.005484,0.006287,12.77,40
4,0.005703,0.000622,0.005082,0.005703,10.90,40
5,0.005892,0.000647,0.005245,0.005892,10.98,40
5,0.005972,0.000653,0.005319,0.005972,10.93,40
2,0.005668,0.000375,0.005293,0.005668,6.62,40
5,0.006416,0.000744,0.005672,0.006416,11.60,40
2,0.005590,0.000350,0.005240,0.005590,6.26,40
3,0.005415,0.000474,0.004941,0.005415,8.75,40
3,0.005750,0.000496,0.005255,0.005750,8.62,40
6,0.006089,0.000974,0.005115,0.006089,15.99,40
5,0.005970,0.000730,0.005241,0.005970,12.22,40
2,0.005154,0.000306,0.004848,0.005154,5.94,40
5,0.005479,0.000694,0.004785,0.005479,12.67,40
4,0.006098,0.000562,0.005536,0.006098,9.22,40
2,0.005622,0.000328,0.005294,0.005622,5.83,40
4,0.005840,0.000603,0.005236,0.005840,10.33,40
3,0.005710,0.000589,0.005121,0.005710,10.31,40
4,0.005717,0.000547,0.005170,0.005717,9.57,40
2,0.005495,0.000307,0.005189,0.005495,5.58,40
3,0.005508,0.000449,0.005058,0.005508,8.16,40
4,0.006349,0.000654,0.005695,0.006349,10.31,40
6,0.006863,0.000813,0.006050,0.006863,11.84,40
4,0.006512,0.000722,0.005790,0.006512,11.08,40
2,0.006081,0.000413,0.005669,0.006081,6.79,40
5,0.006501,0.000962,0.005538,0.006501,14.80,40
3,0.005582,0.000520,0.005062,0.005582,9.32,40
5,0.005643,0.000666,0.004977,0.005643,11.81,40
6,0.006954,0.000853,0.006101,0.006954,12.26,40
5,0.005484,0.000645,0.004839,0.005484,11.76,40
4,0.005975,0.000576,0.005399,0.005975,9.65,40
5,0.005902,0.000720,0.005182,0.005902,12.20,40
2,0.005552,0.000416,0.005136,0.005552,7.49,40
5,0.005729,0.000678,0.005052,0.005729,11.83,40
5,0.006308,0.000596,0.005712,0.006308,9.45,40
6,0.007260,0.001391,0.005869,0.007260,19.16,40
4,0.005881,0.000542,0.005340,0.005881,9.21,40
3,0.005589,0.000414,0.005175,0.005589,7.40,40
2,0.005571,0.000302,0.005269,0.005571,5.43,40
3,0.005879,0.000421,0.005457,0.005879,7.17,40
6,0.006018,0.000867,0.005151,0.006018,14.41,40
6,0.006281,0.000871,0.005411,0.006281,13.86,40
5,0.005746,0.000683,0.005063,0.005746,11.89,40
2,0.005334,0.000350,0.004984,0.005334,6.57,40
4,0.006173,0.000594,0.005579,0.006173,9.62,40
2,0.005188,0.000308,0.004880,0.005188,5.94,40
5,0.006160,0.000739,0.005421,0.006160,12.00,40
2,0.005849,0.000374,0.005474,0.005849,6.40,40
2,0.006236,0.000376,0.005859,0.006236,6.03,40
2,0.005475,0.000339,0.005136,0.005475,6.19,40
2,0.005784,0.000364,0.005420,0.005784,6.29,40
4,0.005875,0.000573,0.005303,0.005875,9.75,40
6,0.006178,0.000798,0.005380,0.006178,12.92,40
4,0.006076,0.000632,0.005443,0.006076,10.41,40
5,0.006145,0.000716,0.005429,0.006145,11.66,40
5,0.006128,0.000722,0.005406,0.006128,11.79,40
2,0.006020,0.000291,0.005729,0.006020,4.83,40
2,0.005938,0.000338,0.005599,0.005938,5.70,40
5,0.006141,0.000826,0.005315,0.006141,13.45,40
2,0.008736,0.000658,0.008078,0.008736,7.53,40
6,0.013934,0.000640,0.013294,0.013934,4.59,40
4,0.007384,0.000452,0.006932,0.007384,6.13,40
4,0.008745,0.000614,0.008131,0.008745,7.02,40
5,0.007317,0.001025,0.006293,0.007317,14.00,40
5,0.008447,0.000855,0.007592,0.008447,10.12,40
3,0.006554,0.000465,0.006089,0.006554,7.10,40
2,0.006293,0.000293,0.006000,0.006293,4.66,40
3,0.007085,0.000586,0.006498,0.007085,8.28,40
4,0.007253,0.000564,0.006690,0.007253,7.77,40
2,0.005860,0.000178,0.005682,0.005860,3.04,40
3,0.007630,0.000484,0.007146,0.007630,6.34,40
6,0.007599,0.001192,0.006407,0.007599,15.69,40
5,0.007479,0.001055,0.006424,0.007479,14.10,40
6,0.007814,0.000873,0.006940,0.007814,11.18,40
4,0.005996,0.000572,0.005425,0.005996,9.54,40
6,0.007780,0.001037,0.006743,0.007780,13.33,40
4,0.005869,0.000297,0.005572,0.005869,5.06,40
5,0.007423,0.001189,0.006234,0.007423,16.02,40
5,0.007869,0.000891,0.006978,0.007869,11.32,40
4,0.005902,0.000607,0.005294,0.005902,10.29,40
4,0.007045,0.000585,0.006460,0.007045,8.30,40
4,0.005588,0.000547,0.005041,0.005588,9.78,40
4,0.006250,0.000656,0.005593,0.006250,10.50,40
5,0.007296,0.000853,0.006443,0.007296,11.69,40
2,0.006577,0.000371,0.006206,0.006577,5.64,40
6,0.006781,0.000739,0.006042,0.006781,10.90,40
3,0.006588,0.000479,0.006108,0.006588,7.27,40
6,0.006566,0.000805,0.005761,0.006566,12.26,40
6,0.007284,0.000934,0.006350,0.007284,12.82,40
2,0.005989,0.000539,0.005450,0.005989,9.01,40
5,0.006735,0.000745,0.005990,0.006735,11.06,40
4,0.006100,0.000588,0.005511,0.006100,9.64,40
4,0.006289,0.000557,0.005732,0.006289,8.86,40
2,0.005364,0.000334,0.005030,0.005364,6.23,40
5,0.006618,0.000734,0.005884,0.006618,11.10,40
2,0.005769,0.000311,0.005457,0.005769,5.40,40
4,0.005628,0.000578,0.005051,0.005628,10.26,40
5,0.006130,0.000705,0.005425,0.006130,11.50,40
5,0.006474,0.000902,0.005572,0.006474,13.94,40
4,0.005952,0.000591,0.005361,0.005952,9.92,40
3,0.006345,0.000461,0.005884,0.006345,7.27,40
5,0.006170,0.000675,0.005495,0.006170,10.94,40
4,0.005599,0.000501,0.005098,0.005599,8.95,40
3,0.006340,0.000392,0.005948,0.006340,6.18,40
6,0.011054,0.000857,0.010197,0.011054,7.75,40
4,0.006989,0.000526,0.006464,0.006989,7.52,40
6,0.007572,0.000993,0.006580,0.007572,13.11,40
6,0.009117,0.000688,0.008429,0.009117,7.55,40
3,0.007721,0.000378,0.007343,0.007721,4.89,40
3,0.015923,0.000434,0.015489,0.015923,2.72,40
6,0.013309,0.000715,0.012594,0.013309,5.38,40
4,0.008390,0.000698,0.007693,0.008390,8.31,40
3,0.011063,0.000528,0.010535,0.011063,4.77,40
2,0.008472,0.000468,0.008004,0.008472,5.52,40
2,0.006220,0.000309,0.005911,0.006220,4.97,40
2,0.009285,0.000449,0.008835,0.009285,4.84,40
6,0.008028,0.000565,0.007463,0.008028,7.03,40
3,0.007451,0.000496,0.006955,0.007451,6.65,40
6,0.007515,0.000544,0.006971,0.007515,7.24,40
4,0.007837,0.000477,0.007360,0.007837,6.09,40
3,0.008520,0.000505,0.008015,0.008520,5.93,40
4,0.008123,0.000678,0.007446,0.008123,8.34,40
6,0.008140,0.000729,0.007411,0.008140,8.96,40
6,0.008731,0.000786,0.007945,0.008731,9.01,40
2,0.008573,0.000335,0.008238,0.008573,3.91,40
3,0.007497,0.000356,0.007141,0.007497,4.75,40
4,0.008364,0.000514,0.007850,0.008364,6.14,40
4,0.013106,0.000636,0.012471,0.013106,4.85,40
6,0.007115,0.000937,0.006178,0.007115,13.16,40
3,0.006358,0.000372,0.005986,0.006358,5.85,40
6,0.006390,0.000734,0.005656,0.006390,11.48,40
2,0.008237,0.000385,0.007852,0.008237,4.67,40
4,0.006921,0.000549,0.006373,0.006921,7.93,40
5,0.008611,0.000656,0.007955,0.008611,7.62,40
5,0.006110,0.000709,0.005402,0.006110,11.60,40
4,0.011569,0.000653,0.010916,0.011569,5.65,40
6,0.008476,0.000852,0.007625,0.008476,10.05,40
3,0.009032,0.001303,0.007729,0.009032,14.43,40
