num_fila,wall_time-s,user_time-s,sys_time-s,cpu_total-s,percent_cpu,mem_rss-kb
6,0.000650,0.000000,0.000591,0.000591,90.9,1952
6,0.000824,0.000000,0.000741,0.000741,89.9,1952
2,0.000287,0.000000,0.000204,0.000204,71.2,1952
5,0.000645,0.000000,0.000589,0.000589,91.3,1952
6,0.000658,0.000000,0.000605,0.000605,92.0,1952
2,0.000280,0.000000,0.000203,0.000203,72.4,1952
3,0.000407,0.000000,0.000335,0.000335,82.2,1952
2,0.000303,0.000000,0.000228,0.000228,75.3,1952
5,0.000631,0.000000,0.000573,0.000573,90.8,1952
4,0.000452,0.000000,0.000384,0.000384,85.0,1952
5,0.000601,0.000000,0.000535,0.000535,89.0,1952
5,0.000556,0.000000,0.000497,0.000497,89.4,1952
5,0.000701,0.000000,0.000644,0.000644,91.9,1952
2,0.000405,0.000000,0.000350,0.000350,86.3,1952
4,0.000658,0.000000,0.000567,0.000567,86.2,1952
6,0.000929,0.000000,0.000848,0.000848,91.3,1952
2,0.000323,0.000000,0.000282,0.000282,87.4,1952
2,0.000314,0.000000,0.000213,0.000213,67.8,1952
6,0.000606,0.000000,0.000539,0.000539,89.0,1952
4,0.000425,0.000000,0.000348,0.000348,81.9,1952
4,0.000373,0.000000,0.000292,0.000292,78.4,1952
6,0.000546,0.000000,0.000474,0.000474,86.8,1952
4,0.000424,0.000000,0.000348,0.000348,82.0,1952
5,0.000458,0.000000,0.000372,0.000372,81.1,1952
2,0.000257,0.000000,0.000159,0.000159,61.8,1952
6,0.000473,0.000000,0.000408,0.000408,86.2,1952
6,0.000508,0.000000,0.000443,0.000443,87.2,1952
5,0.000407,0.000000,0.000339,0.000339,83.3,1952
2,0.000252,0.000000,0.000147,0.000147,58.3,1952
3,0.000306,0.000000,0.000228,0.000228,74.5,1952
2,0.000249,0.000000,0.000151,0.000151,60.7,1952
2,0.000242,0.000000,0.000160,0.000160,66.2,1952
2,0.000276,0.000000,0.000190,0.000190,68.8,1952
5,0.000405,0.000000,0.000336,0.000336,83.0,1952
6,0.000498,0.000000,0.000401,0.000401,80.6,1952
3,0.000304,0.000000,0.000230,0.000230,75.6,1952
4,0.000395,0.000000,0.000287,0.000287,72.7,1952
2,0.000253,0.000000,0.000154,0.000154,61.0,1952
3,0.000400,0.000000,0.000325,0.000325,81.3,1952
5,0.000555,0.000000,0.000495,0.000495,89.2,1952
