num_fila,wall_time-s,user_time-s,sys_time-s,cpu_total-s,percent_cpu,mem_rss-kb
4,0.005102,0.000525,0.004577,0.005102,10.29,40
2,0.004375,0.000270,0.004105,0.004375,6.18,40
2,0.004157,0.000270,0.003887,0.004157,6.49,40
4,0.004991,0.000462,0.004529,0.004991,9.25,40
3,0.004107,0.000319,0.003788,0.004107,7.77,40
5,0.004862,0.000612,0.004250,0.004862,12.59,81
5,0.005345,0.000692,0.004653,0.005345,12.94,40
3,0.004831,0.000440,0.004391,0.004831,9.11,40
5,0.005891,0.000720,0.005171,0.005891,12.22,40
6,0.005410,0.000666,0.004744,0.005410,12.31,40
2,0.004272,0.000344,0.003929,0.004272,8.04,40
5,0.005752,0.000810,0.004942,0.005752,14.08,40
5,0.004847,0.000529,0.004318,0.004847,10.91,40
5,0.004590,0.000642,0.003948,0.004590,13.98,40
6,0.005538,0.000729,0.004809,0.005538,13.16,40
3,0.004853,0.000399,0.004454,0.004853,8.22,40
3,0.013073,0.000451,0.012623,0.013073,3.45,40
5,0.005941,0.000655,0.005286,0.005941,11.02,40
2,0.005395,0.000333,0.005062,0.005395,6.18,40
2,0.020813,0.000343,0.020470,0.020813,1.65,40
4,0.005352,0.000528,0.004823,0.005352,9.87,40
5,0.006538,0.000634,0.005904,0.006538,9.70,40
4,0.005446,0.000532,0.004914,0.005446,9.77,40
6,0.005899,0.000756,0.005142,0.005899,12.82,40
5,0.005571,0.000627,0.004945,0.005571,11.25,40
4,0.005816,0.000549,0.005267,0.005816,9.43,40
5,0.006211,0.000695,0.005516,0.006211,11.19,40
6,0.005927,0.000891,0.005037,0.005927,15.02,40
6,0.006982,0.000770,0.006212,0.006982,11.03,40
4,0.010082,0.000558,0.009524,0.010082,5.53,40
4,0.005170,0.000489,0.004680,0.005170,9.46,40
3,0.004418,0.000328,0.004090,0.004418,7.43,40
2,0.004062,0.000238,0.003824,0.004062,5.85,40
2,0.004310,0.000257,0.004053,0.004310,5.96,40
6,0.004827,0.000660,0.004167,0.004827,13.66,40
6,0.005731,0.000807,0.004924,0.005731,14.08,40
6,0.005711,0.000687,0.005024,0.005711,12.03,40
3,0.004629,0.000361,0.004268,0.004629,7.80,40
4,0.004741,0.000442,0.004298,0.004741,9.33,40
5,0.005116,0.000739,0.004377,0.005116,14.44,40
2,0.004601,0.000250,0.004352,0.004601,5.42,40
4,0.004479,0.000437,0.004042,0.004479,9.75,40
6,0.005135,0.000630,0.004505,0.005135,12.26,40
6,0.005146,0.000696,0.004450,0.005146,13.53,40
2,0.004634,0.000281,0.004352,0.004634,6.07,40
6,0.004934,0.000668,0.004266,0.004934,13.53,40
3,0.004258,0.000339,0.003919,0.004258,7.96,40
2,0.004464,0.000274,0.004191,0.004464,6.13,40
4,0.004714,0.000447,0.004266,0.004714,9.49,40
3,0.004306,0.000322,0.003984,0.004306,7.47,40
2,0.004803,0.000289,0.004514,0.004803,6.01,40
3,0.004460,0.000412,0.004048,0.004460,9.24,40
2,0.004324,0.000238,0.004086,0.004324,5.49,40
6,0.004805,0.000662,0.004143,0.004805,13.78,40
